assignment_id,employee_id,role_id,year_month,hours_worked,customer_id,earned_amount
1,E0011,ROL003,2024-01,59,C005,1652
2,E0011,ROL003,2024-01,29.5,C001,826
3,E0012,ROL008,2024-01,30.5,C001,1037
4,E0012,ROL008,2024-01,51,C020,1734
5,E0012,ROL008,2024-01,30.5,C001,1037
6,E0012,ROL008,2024-01,25.5,C013,867
7,E0020,ROL008,2024-01,24,C047,816
8,E0030,ROL001,2024-01,29.5,C005,1180
9,E0030,ROL001,2024-01,19.5,C001,780
10,E0030,ROL001,2024-01,29.5,C001,1180
11,E0034,ROL001,2024-01,40,C001,1600
12,E0034,ROL001,2024-01,80,C002,3200
13,E0034,ROL001,2024-01,80,C005,3200
14,E0034,ROL001,2024-01,33,C020,1320
15,E0045,ROL008,2024-01,48,C011,1632
16,E0045,ROL008,2024-01,28.5,C001,969
17,E0052,ROL003,2024-01,25,C018,700
18,E0052,ROL003,2024-01,45,C001,1260
19,E0052,ROL003,2024-01,20,C050,560
20,E0119,ROL008,2024-01,11,C001,374
21,E0119,ROL008,2024-01,6,C007,204
22,E0119,ROL008,2024-01,9,C012,306
23,E0119,ROL008,2024-01,6,C017,204
24,E0011,ROL003,2024-02,20,C005,560
25,E0012,ROL008,2024-02,16,C005,544
26,E0012,ROL008,2024-02,13.5,C013,459
27,E0020,ROL008,2024-02,40.5,C002,1377
28,E0020,ROL008,2024-02,67.5,C012,2295
29,E0020,ROL008,2024-02,81,C005,2754
30,E0030,ROL001,2024-02,13.5,C011,540
31,E0034,ROL001,2024-02,37.5,C001,1500
32,E0034,ROL001,2024-02,12.5,C002,500
33,E0045,ROL008,2024-02,90.5,C005,3077
34,E0045,ROL008,2024-02,45,C005,1530
35,E0045,ROL008,2024-02,20,C035,680
36,E0052,ROL003,2024-02,7.5,C017,210
37,E0052,ROL003,2024-02,12,C021,336
38,E0052,ROL003,2024-02,5,C007,140
39,E0052,ROL003,2024-02,7.5,C011,210
40,E0119,ROL008,2024-02,22.5,C001,765
41,E0008,ROL003,2024-03,34,C044,986
42,E0011,ROL003,2024-03,23,C045,667
43,E0011,ROL003,2024-03,70,C005,2030
44,E0012,ROL008,2024-03,16.5,C039,577.5
45,E0012,ROL008,2024-03,16.5,C005,577.5
46,E0015,ROL008,2024-03,15.5,C001,542.5
47,E0020,ROL008,2024-03,15.5,C002,542.5
48,E0020,ROL008,2024-03,23.5,C005,822.5
49,E0020,ROL008,2024-03,15.5,C001,542.5
50,E0020,ROL008,2024-03,15.5,C005,542.5
51,E0023,ROL003,2024-03,18.5,C001,536.5
52,E0023,ROL003,2024-03,18.5,C005,536.5
53,E0023,ROL006,2024-03,17.5,C013,490
54,E0023,ROL006,2024-03,21,C002,588
55,E0030,ROL001,2024-03,17.5,C013,717.5
56,E0030,ROL001,2024-03,21.5,C023,881.5
57,E0034,ROL001,2024-03,13,C028,533
58,E0034,ROL001,2024-03,11,C013,451
59,E0034,ROL001,2024-03,13,C001,533
60,E0041,ROL001,2024-03,6.5,C049,266.5
61,E0041,ROL001,2024-03,31,C001,1271
62,E0045,ROL008,2024-03,10,C008,350
63,E0045,ROL008,2024-03,36,C002,1260
64,E0045,ROL008,2024-03,36,C002,1260
65,E0052,ROL003,2024-03,13.5,C007,391.5
66,E0052,ROL006,2024-03,9.5,C016,266
67,E0052,ROL006,2024-03,6,C010,168
68,E0052,ROL006,2024-03,19,C007,532
69,E0062,ROL001,2024-03,12.5,C043,512.5
70,E0062,ROL001,2024-03,19,C005,779
71,E0062,ROL001,2024-03,29,C005,1189
72,E0062,ROL001,2024-03,58,C001,2378
73,E0077,ROL003,2024-03,26.5,C012,768.5
74,E0077,ROL003,2024-03,7,C027,203
75,E0077,ROL003,2024-03,13,C014,377
76,E0104,ROL003,2024-03,23,C001,667
77,E0104,ROL006,2024-03,12,C002,336
78,E0104,ROL006,2024-03,6.5,C014,182
79,E0119,ROL008,2024-03,19.5,C002,682.5
80,E0119,ROL008,2024-03,19.5,C002,682.5
81,E0119,ROL010,2024-03,11,C011,275
82,E0119,ROL010,2024-03,19.5,C002,487.5
83,E0119,ROL010,2024-03,33,C020,825
84,E0008,ROL003,2024-04,18.5,C001,536.5
85,E0008,ROL003,2024-04,24.5,C024,710.5
86,E0008,ROL003,2024-04,18.5,C001,536.5
87,E0011,ROL003,2024-04,54,C005,1566
88,E0011,ROL003,2024-04,27,C002,783
89,E0011,ROL003,2024-04,18,C005,522
90,E0012,ROL008,2024-04,6.5,C014,227.5
91,E0012,ROL008,2024-04,10,C018,350
92,E0012,ROL008,2024-04,12,C005,420
93,E0012,ROL008,2024-04,24,C002,840
94,E0015,ROL008,2024-04,49.5,C002,1732.5
95,E0015,ROL008,2024-04,49.5,C005,1732.5
96,E0020,ROL008,2024-04,35.5,C002,1242.5
97,E0020,ROL008,2024-04,35.5,C002,1242.5
98,E0023,ROL003,2024-04,12,C026,348
99,E0023,ROL003,2024-04,36.5,C001,1058.5
100,E0023,ROL003,2024-04,36.5,C005,1058.5
101,E0023,ROL006,2024-04,13.5,C005,378
102,E0023,ROL006,2024-04,40.5,C005,1134
103,E0023,ROL006,2024-04,27,C039,756
104,E0023,ROL006,2024-04,13.5,C001,378
105,E0030,ROL001,2024-04,41.5,C002,1701.5
106,E0030,ROL001,2024-04,17,C014,697
107,E0030,ROL001,2024-04,13.5,C005,553.5
108,E0034,ROL001,2024-04,19.5,C048,799.5
109,E0035,ROL008,2024-04,10.5,C005,367.5
110,E0038,ROL008,2024-04,19,C001,665
111,E0038,ROL008,2024-04,32,C009,1120
112,E0038,ROL008,2024-04,38.5,C001,1347.5
113,E0041,ROL001,2024-04,19,C001,779
114,E0041,ROL001,2024-04,12.5,C001,512.5
115,E0041,ROL001,2024-04,16,C016,656
116,E0041,ROL001,2024-04,12.5,C040,512.5
117,E0042,ROL007,2024-04,8.5,C005,161.5
118,E0045,ROL008,2024-04,42.5,C006,1487.5
119,E0052,ROL003,2024-04,23.5,C015,681.5
120,E0052,ROL003,2024-04,7.5,C018,217.5
121,E0052,ROL003,2024-04,9.5,C001,275.5
122,E0052,ROL003,2024-04,7.5,C006,217.5
123,E0052,ROL006,2024-04,17.5,C002,490
124,E0062,ROL001,2024-04,25.5,C001,1045.5
125,E0062,ROL001,2024-04,8.5,C044,348.5
126,E0062,ROL001,2024-04,13,C005,533
127,E0072,ROL001,2024-04,17.5,C020,717.5
128,E0072,ROL001,2024-04,14,C002,574
129,E0072,ROL001,2024-04,21,C001,861
130,E0073,ROL001,2024-04,13.5,C017,553.5
131,E0073,ROL001,2024-04,24,C005,984
132,E0073,ROL001,2024-04,16,C005,656
133,E0073,ROL001,2024-04,48.5,C005,1988.5
134,E0076,ROL003,2024-04,16.5,C011,478.5
135,E0076,ROL003,2024-04,13.5,C001,391.5
136,E0077,ROL003,2024-04,34.5,C017,1000.5
137,E0080,ROL006,2024-04,15.5,C007,434
138,E0080,ROL006,2024-04,15.5,C014,434
139,E0080,ROL006,2024-04,10,C020,280
140,E0080,ROL006,2024-04,18.5,C002,518
141,E0096,ROL003,2024-04,18,C002,522
142,E0096,ROL003,2024-04,36.5,C002,1058.5
143,E0104,ROL003,2024-04,13.5,C001,391.5
144,E0104,ROL003,2024-04,41.5,C001,1203.5
145,E0104,ROL003,2024-04,20.5,C005,594.5
146,E0104,ROL003,2024-04,13.5,C001,391.5
147,E0104,ROL006,2024-04,10.5,C016,294
148,E0104,ROL006,2024-04,25.5,C005,714
149,E0104,ROL006,2024-04,21,C012,588
150,E0119,ROL008,2024-04,15,C013,525
151,E0119,ROL010,2024-04,17,C001,425
152,E0119,ROL010,2024-04,11,C001,275
153,E0119,ROL010,2024-04,28,C016,700
154,E0119,ROL010,2024-04,17,C001,425
155,E0001,ROL003,2024-05,8.5,C022,255
